BSL Word,Japanese Translate,Pronunciation(IPA),Explanation
recipient,受信者,rəˈsɪpiənt,
reconcile,和解させる；調停する；一致させる,ˈrɛkənˌsaɪl,
reconciliation,和解,ˌrɛkənˌsɪliˈeɪʃən,
reconstruction,復興,ˌrikənˈstrʌkʃən,
recruitment,募集,rəˈkrutmənt,
recycle,再利用する,riˈsaɪkəl,
redeem,改善する；名誉挽回する；救済する；履行する；返済する；償還する；現金[商品]に換える；買い戻す,rɪˈdim,基本にあるのは「取り戻す」という意味。
redemption,"救済,解放,救い；(株式･債券などの)償還,買い戻し；質受け",rɪˈdɛmpʃən,
redesign,再設計,ˌridɪˈzaɪn,
redundancy,冗長性,rɪˈdʌndənsi,
referendum,人民投票,ˌrɛfəˈrɛndəm,
referral,照会,rɪˈfɜrəl,
refinance,借り換え,ˌrifəˈnæns,
refine,洗練する；向上させる,rəˈfaɪn,
reformer,改革者；宗教改革者,rɪˈfɔrmər,
reformist,改革,rɪˈfɔrmɪst,
refund,返金,ˈriˌfʌnd,
refusal,拒否,rəˈfjuzəl,
regain,取り戻す；回復する,rɪˈgeɪn,
regime,領域,rəʒˈim,
regression,回帰,rəˈgrɛʃən,
regulator,規制者,ˈrɛgjəˌleɪtər,
regulatory,規制,ˈrɛgjələˌtɔri,
rein,手綱；統御；制御；抑制,reɪn,
reinforce,強化する,ˌriɪnˈfɔrs,
reinforcement,強化,ˌriɪnˈfɔrsmənt,
reinvest,再び投資する,ˌriɪnˈvɛst,
reinvestment,再投資,ˌriɪnˈvɛstmənt,
rejection,拒絶,rɪˈʤɛkʃən,
relational,関連した,riˈleɪʃənəl,
relevance,関連性,ˈrɛləvəns,
reliability,確実,riˌlaɪəˈbɪləti,
reliance,依存,rɪˈlaɪəns,
relieve,取り除く；和らげる；安心させる,rɪˈliv,
reluctance,不本意,rɪˈlʌktəns,
reluctant,消極的,rɪˈlʌktənt,
remainder,余り,rɪˈmeɪndər,
remarkably,著しく,rɪˈmɑrkəbli,
remedy,療法,ˈrɛmədi,
reminder,リマインダー；思い出させるもの,riˈmaɪndər,
removal,除去,rɪˈmuvəl,
render,(~ A B)AをBにする；伝える,ˈrɛndər,
renew,更新する；継続する；再開する,rɪˈnu,
renewable,"再生可能な；〈契約などが〉更新できる, 継続できる；再生可能エネルギー",riˈnuəbəl,
renewal,再開；復活；更新,rɪˈnuəl,
rental,賃貸；賃貸料,ˈrɛntəl,
reorganization,再編,ˌriɔrgənəˈzeɪʃən,
repay,返済する；報いる,riˈpeɪ,
repayment,返済；報酬,riˈpeɪmənt,
repeatedly,繰り返し,rɪˈpitɪdli,
repertoire,レパートリー；能力範囲,ˈrɛpərˌtwɑr,
replacement,置換,rɪˈpleɪsmənt,
replicate,複製,ˈrɛpləˌkeɪt,
reportedly,報道によれば；うわさによると,rɪˈpɔrtədli,
reprint,再版,riˈprɪnt,
reproduce,再生,ˌriprəˈdus,
republic,共和国,riˈpʌblək,
repurchase,買戻し,riˈpɜrʧəs,
resale,転売,ˈriˌseɪl,
resemble,似ている；たとえる,rɪˈzɛmbəl,
reservation,予約,ˌrɛzərˈveɪʃən,
residence,住宅；家；邸宅；居住すること,ˈrɛzɪdəns,
residential,居住の,ˌrɛzɪˈdɛnʧəl,
residual,残りの,rɪˈzɪʤuəl,
resignation,辞任,ˌrɛzəgˈneɪʃən,
respective,それぞれの,rɪˈspɛktɪv,
respondent,被告,rɪˈspɑndənt,
restate,言い換える,riˈsteɪt,
restrain,制止する；禁じる；拘束する；抑える,riˈstreɪn,
restraint,拘束,rɪˈstreɪnt,
restrictive,限定的,riˈstrɪktɪv,
restructure,再構築,riˈstrʌkʧər,
resume,履歴書,rɪˈzum,
retailer,小売店,ˈriˌteɪlər,
retention,保持,riˈtɛnʃən,
retreat,退却,riˈtrit,
retrieve,取り戻す；回収する；検索する；挽回する,rɪˈtriv,
revaluation,再評価,riˈvæljuˈeɪʃən,
reversal,逆転,rɪˈvɜrsəl,
revision,修正；改正,riˈvɪʒən,
revival,復活,rɪˈvaɪvəl,
revive,蘇生させる；復活させる；生き返る,rɪˈvaɪv,
revolutionary,革命的,ˌrɛvəˈluʃəˌnɛri,
rewrite,書き直す；改正する,riˈraɪt,
rhetoric,レトリック,ˈrɛtərɪk,
rig,"艤装する；備える；用具一式；〈投票･価格･市場など〉を不正に操作する, 操る",rɪg,
rightly,正しく,ˈraɪtli,
rigid,厳格,ˈrɪʤəd,
rigorous,厳しい,ˈrɪgərəs,
riot,暴動,ˈraɪət,
risky,危険な；危険を伴った,ˈrɪski,
robot,ロボット,ˈroʊˌbɑt,
robust,"強靭な, 壮健な;頑丈な",roʊˈbʌst,
rocket,ロケット,ˈrɑkət,
rose,バラ；バラ色の,roʊz,
routinely,日常,ruˈtinli,
royalty,皇族,ˈrɔɪəlti,
ruler,定規,ˈrulər,
rumor,噂,ˈrumər,
sack,袋,sæk,
sacrifice,犠牲,ˈsækrəˌfaɪs,
sadly,悲しげに,ˈsædli,
safeguard,安全対策,ˈseɪfˌgɑrd,
salespeople,営業担当者,ˈseɪlzˌpipəl,
salesperson,店員,ˈseɪlzˌpɜrsən,
salvage,引き上げ,ˈsælvəʤ,
satellite,衛星,ˈsætəˌlaɪt,
satisfactory,満足のいく；納得のいく,ˌsætəˈsfæktri,
saver,節約するもの；貯蓄家,ˈseɪvər,
scandal,スキャンダル；醜聞；汚職事件,ˈskændəl,
scarce,不足して；十分にない；,skɛrs,
scatter,散布,ˈskætər,
scenario,筋書き；(予想される)事態；台本,sɪˈnɛrioʊ,
scorecard,得点表；選手リスト；検査手順,ˈskɔrˌkɑrd,
scrap,切れ端；かけら；スクラップ,skræp,
scratch,かく；引っ掻き傷をつける,skræʧ,
script,脚本,skrɪpt,
scrutiny,検討,ˈskrutəni,
seasonal,季節的,ˈsizənəl,
secular,世俗的な,ˈsɛkjələr,
seeker,探し求める人；探求者,ˈsikər,
seemingly,一見,ˈsimɪŋli,
segmentation,分解；分割,ˌsɛgmənˈteɪʃən,
seize,つかむ,siz,
seldom,滅多,ˈsɛldəm,
selective,選択,səˈlɛktɪv,
seller,売り手,ˈsɛlər,
semi,半；やや；いくぶん；不十分な,ˈsɛmi,
seminar,ゼミ；少人数の演習；研究会；研究科,ˈsɛməˌnɑr,
senator,上院議員,ˈsɛnətər,
sensible,"分別がある,思慮深い；実用的な,実用本位の；顕著な,目立つ；認識している",ˈsɛnsəbəl,
sensitivity,感度,ˌsɛnsɪˈtɪvɪti,
sensor,センサー,ˈsɛnsər,
sentiment,感情,ˈsɛntəmənt,
separately,別々に,ˈsɛpərətli,
separation,分離,ˌsɛpəˈreɪʃən,
separatist,分離主義者,ˈsɛpərətɪst,
serial,連続もの；連続的な；直列の,ˈsɪˌriəl,
setup,セットアップ；準備,ˈsɛˌtʌp,
severely,厳しく,səˈvɪrli,
sharply,鋭く,ˈʃɑrpli,
shed,小屋,ʃɛd,
sheer,（形）まったくの；純粋な；すさまじい；垂直の；非常に薄い；（副）垂直に；まったく；（名）透けるような薄い織物,ʃɪr,
shield,盾,ʃild,
shipment,出荷,ˈʃɪpmənt,
shopper,消費者,ˈʃɑpər,
shortage,不足；欠乏,ˈʃɔrtəʤ,
shortfall,不足額,ˈʃɔrtˌfɔl,
shortly,まもなく,ˈʃɔrtli,
shrink,縮む；減少する；縮ませる,ʃrɪŋk,
signature,署名,ˈsɪgnəʧər,
similarity,相似,ˌsɪməˈlɛrəti,
simplicity,単純,sɪmˈplɪsəti,
simplify,簡素化する,ˈsɪmpləˌfaɪ,
simulate,擬似的に作り出す；模擬的に行う,ˈsɪmjələt,
simulation,模擬実験,ˌsɪmjəˈleɪʃən,
simultaneously,同時に,ˌsaɪməlˈteɪniəsli,
skeptic,疑り深い人；無神論者；懐疑論者,ˈskɛptɪk,
skeptical,懐疑的な；疑い深い,ˈskɛptəkəl,
slack,ゆるんだ；活気のない；怠慢な；ゆるみ,slæk,
slash,切り裂く；深傷を負わせる；斬りつけること,slæʃ,
slim,ほっそりとした；わずかな,slɪm,
slogan,スローガン；標語,ˈsloʊgən,
slot,スロット,slɑt,
slowdown,速度を落とす,ˈsloʊˌdaʊn,
slump,どすんと落ちる；暴落する；不振,slʌmp,
smuggle,密輸,ˈsmʌgəl,
soar,舞い上がる,sɔr,
socialist,社会主義者,ˈsoʊʃələst,
socially,社会的に,ˈsoʊʃəli,
solar,太陽,ˈsoʊlər,
sole,唯一,soʊl,
solely,単に,ˈsoʊəli,
sometime,いつか,ˈsʌmˌtaɪm,
sophisticate,高度化,səˈfɪstəˌkeɪt,
sovereign,主権者,ˈsɑvrən,
sovereignty,主権,ˈsɑvrənti,
span,期間；またがる,spæn,
spark,火花；ひらめき,spɑrk,
specialization,専門化,ˌspɛʃələˈzeɪʃən,
specialty,専門,ˈspɛʃəlti,
specification,仕様,ˌspɛsɪfɪˈkeɪʃən,
spectacular,壮観な,spɛkˈtækjələr,
spectrum,(a ~of A)Aの変動範囲；スペクトル；残像,ˈspɛktrəm,
speculate,推測する；投機する,ˈspɛkjəˌleɪt,
speculation,推測；憶測；考察；投機；思惑買い,ˌspɛkjəˈleɪʃən,
speculative,推測的な；投機的な；思索にふける,ˈspɛkjələtɪv,
speculator,投機家；思索家,ˈspɛkjəˌleɪtər,
spill,溢流,spɪl,
spite,悪意,spaɪt,
spokesman,代弁者,ˈspoʊksmən,
sponsorship,主催,ˈspɑnsərˌʃɪp,
spouse,配偶者,spaʊs,
spreadsheet,スプレッドシート；表計算ソフト,ˈsprɛdˌʃit,
spur,拍車,spɜr,
spy,スパイ,spaɪ,
squeeze,圧搾する；強く握る；絞る；割り込む；詰め込む,skwiz,
stabilize,安定させる,ˈsteɪbəˌlaɪz,
stack,積み重ね；積み重ねる,stæk,
stakeholder,利害関係者,ˈsteɪkˌhoʊldər,
stall,失速,stɔl,
stance,態度；立場；構え；姿勢,stæns,
standardize,標準化,ˈstændərˌdaɪz,
static,静的,ˈstætɪk,
statistical,統計的,stəˈtɪstɪkəl,
statistically,統計的に,stəˈtɪstɪkəli,
statistics,統計,stəˈtɪstɪks,
statute,法令,ˈstæʧut,
statutory,法定の,ˈstæʧəˌtɔri,
steadily,どんどん,ˈstɛdəli,
steam,蒸気,stim,
steep,急勾配の,stip,
steer,操縦する；連れて行く；進む,stɪr,
sterling,英貨；ポンド,ˈstɜrlɪŋ,
stimulus,刺激,ˈstɪmjələs,
stochastic,"確率的な,確率論的な,推計学的な",stoʊˈkæstɪk,
stockholder,株主,ˈstɑkˌhoʊldər,
stockmarket,株式市場,ˈstɑkˌmɑrkɪt,
straightforward,わかりやすい,ˈstreɪtˈfɔrwərd,
strategic,戦略的,strəˈtiʤɪk,
streamline,流線,ˈstrimˌlaɪn,
strictly,厳密に,ˈstrɪktli,
strive,努力,straɪv,
sub,補欠；補充員；補助的；次位の,sʌb,
subjective,主観的,səbˈʤɛktɪv,
subordinate,下位,səˈbɔrdənət,
subprime,上位に次ぐ位；信用リスクの大きい消費者,subprime,
subscribe,申し込む,səbˈskraɪb,
subscriber,加入者,səbˈskraɪbər,
subscription,購読,səbˈskrɪpʃən,
subsection,小区分,ˈsʌbsɛkʃən,
subsidiary,子会社,səbˈsɪdiˌɛri,
subsidize,助成,ˈsʌbsɪˌdaɪz,
subsidy,補助金,ˈsʌbsɪdi,
substantially,実質的,səbˈstænʃəli,
substitution,代入,ˌsʌbstɪˈtuʃən,
subtle,"微妙な,目立たない,わずかな；かすかな,淡い；希薄な；巧妙な；狡猾な；鋭敏な,敏感な",ˈsʌtəl,
subtract,引く；減じる；控除する；引き算する,səbˈtrækt,
suburb,郊外,ˈsʌbərb,
succession,継承,səkˈsɛʃən,
successive,連続した,səkˈsɛsɪv,
successor,後継,səkˈsɛsər,
sue,訴える,su,
sufficiently,十分に,səˈfɪʃəntli,
suicide,自殺,ˈsuəˌsaɪd,
suite,ひとつづきの部屋；ひと組；ソフトウェアパッケージ；組曲,swit,
summit,首脳会談；山頂；頂点,ˈsʌmət,
super,素晴らしい,ˈsupər,
superior,優れている,suˈpɪriər,
supermarket,スーパーマーケット,ˈsupərˌmɑrkɪt,
supervise,監督する,ˈsupərˌvaɪz,
supervision,監督,ˌsupərˈvɪʒən,
supervisor,監督者,ˈsupərˌvaɪzər,
supervisory,監督上の；監督者の,ˌsupərˈvaɪzəri,
supposedly,たぶん,səˈpoʊzədli,
suppress,抑制,səˈprɛs,
surge,殺到する；こみ上げてくる；高揚,sɜrʤ,
surplus,余剰,ˈsɜrpləs,
surrender,降伏,səˈrɛndər,
surveillance,監視,sərˈveɪləns,
suspicion,疑い,səˈspɪʃən,
suspicious,疑わしい,səˈspɪʃəs,
sustainability,持続可能性,səˌsteɪnəˈbɪlɪti,
sustainable,持続可能な,səˈsteɪnəbəl,
swap,交換する；交換,swɑp,
swell,うねり,swɛl,
swiftly,素早く,ˈswɪftli,
sympathy,同情,ˈsɪmpəθi,
syndicate,企業連合；犯罪組織；理事会；通信社を通じて同時に流れる,ˈsɪndɪkət,
synergy,相乗効果,ˈsɪnərʤi,
synthetic,合成,sɪnˈθɛtɪk,
systematic,系統的,ˌsɪstəˈmætɪk,
tactic,作戦；かけひき；戦術；配列の,ˈtæktɪk,
tactical,戦術的な,ˈtæktɪkəl,
tag,鬼ごっこ,tæg,
tailor,洋服屋；仕立て屋；服を仕立てる,ˈteɪlər,
takeover,買収,ˈteɪˌkoʊvər,
tangible,有形,ˈtænʤəbəl,
tariff,関税,ˈtɛrəf,
taxable,課税対象となる；課税対象者,ˈtæksəbəl,
taxation,課税；税金額,tækˈseɪʃən,
taxpayer,納税者,ˈtækˌspeɪər,
tech,工科大学；技術；技術者；技術系の,tɛk,
technically,技術的に,ˈtɛknɪkəli,
technological,科学技術の,ˌtɛknəˈlɑʤɪkəl,
telecom,遠距離通信；電気通信技術,ˈtɛləkɑm,
telecommunication,電気通信,ˌtɛləkəmˌjunɪˈkeɪʃən,
template,型板；ひな型；定型書式,ˈtɛmplət,
temporarily,仮に,ˌtɛmpəˈrɛrəli,
tempt,誘惑する,tɛmpt,
tenant,賃借人；占有者；賃借されている,ˈtɛnənt,
tenure,任期,ˈtɛnjər,
terminal,末期の；最終の；発着場；端末；端子,ˈtɜrmənəl,
terminate,終わらせる；中絶する；解雇する；暗殺する,ˈtɜrməˌneɪt,
termination,終了；中絶；解雇,tərməˈneɪʃən,
terror,恐怖；暴力行為；テロ,ˈtɛrər,
terrorism,テロ,ˈtɛrəˌrɪzəm,
testify,証言する,ˈtɛstəˌfaɪ,
testimony,証言,ˈtɛstəˌmoʊni,
textbook,教科書,ˈtɛkstˌbʊk,
textile,繊維,ˈtɛkˌstaɪl,
theft,盗難,θɛft,
thereafter,以降,ðɛˈræftər,
thereby,それによって,ˈðɛrˈbaɪ,
thorough,綿密な,ˈθɜroʊ,
thoroughly,徹底的に,ˈθɜroʊli,
threshold,しきい値,ˈθrɛˌʃoʊld,
thrive,繁栄,θraɪv,
thumb,親指,θʌm,
tick,ダニ,tɪk,
tide,潮,taɪd,
tier,座席；段；階層,ˈtaɪər,
tighten,しっかりと締める；厳しくする；ピンと張る,ˈtaɪtən,
timber,木材,ˈtɪmbər,
timely,タイミングの良い；おりよく,ˈtaɪmli,
timetable,時刻表,ˈtaɪmˌteɪbəl,
tobacco,タバコ,təˈbæˌkoʊ,
tolerance,寛容,ˈtɑlərəns,
tolerate,容認,ˈtɑləˌreɪt,
toll,通行料金,toʊl,
ton,トン；馬鹿げた重さ；多量,tʌn,
tonne,メートルトン,tʌn,
tort,不法行為,tɔrt,
torture,拷問,ˈtɔrʧər,
trademark,商標,ˈtreɪdˌmɑrk,
trader,商売をする人；貿易業者；商船；,ˈtreɪdər,
traditionally,伝統的に,trəˈdɪʃənəli,
trainee,研修生,ˈtreɪˈni,
trait,特徴；特性；性質,treɪt,
tranche,分割払い込み金,trænʧ,
transaction,取引；業務の処理；議事録,trænˈzækʃən,
transformation,変換,ˌtrænsfərˈmeɪʃən,
transit,運送；運送機関；通過；横切る,ˈtrænzɪt,
translation,翻訳,trænˈzleɪʃən,
transmission,送信；伝達；放送；変速機；伝導,trænˈsmɪʃən,
transmit,送信,trænzˈmɪt,
transparency,透明度,trænˈspɛrənsi,
transparent,透明な；見えすいた；わかりやすい；公正明大な,trænˈspɛrənt,
traveler,旅行者,ˈtrævələr,
treasury,"財務省,大蔵省；宝庫,宝物殿,貴重品室；国庫,歳入;公庫,基金,資金",ˈtrɛʒəri,
treaty,条約,ˈtriti,
tremendous,ものすごい；すばらしい；恐ろしい,trəˈmɛndəs,
tribal,部族,ˈtraɪbəl,
tribe,部族,traɪb,
tribunal,審判,trəˈbjunəl,
tricky,巧妙な；手の込んだ；扱いにくい；狡猾な,ˈtrɪki,
trim,刈り込む；摘み取る,trɪm,
triple,3部からなる,ˈtrɪpəl,
triumph,勝利,ˈtraɪəmf,
trustee,"(他人の財産管理などの)受託者, 被信託人,管財人；評議員,理事；委託する.",ˌtrʌˈsti,
tumble,転ぶ；倒れる,ˈtʌmbəl,
tunnel,トンネル,ˈtʌnəl,
tuple,組；タプル,tuple,順序付けられた複数の要素で構成される組。
turmoil,騒ぎ,ˈtɜrˌmɔɪl,
turnover,売上高,ˈtɜrˌnoʊvər,
ultimate,究極,ˈʌltəmət,
unauthorized,不正,əˈnɔθəˌraɪzd,
uncertain,不確実,ənˈsɜrtən,
unchanged,変更なし,ənˈʧeɪnʤd,
uncover,ふたをとる；身につけたものを脱ぐ；暴露する,ənˈkʌvər,
underestimate,過小評価,ˈʌndəˈrɛstəmət,
underground,地下,ˈʌndərˌgraʊnd,
undermine,ひそかに傷つける；阻む,ˈʌndərˌmaɪn,
underpin,支える,ˈʌndərˌpɪn,
undervalue,過小評価,ˈʌndərˌvælju,
underwrite,引き受ける,ˈʌndərˌraɪt,
underwriter,引受,ˈʌndərˌraɪtər,
undoubtedly,きっと,ənˈdaʊtɪdli,
unemployed,失業者,ˌʌnɛmˈplɔɪd,
unexpected,予想外,ˌʌnɪkˈspɛktɪd,
unexpectedly,意外と,ˌʌnɪkˈspɛktɪdli,
unfair,不公平な；不正な,ənˈfɛr,
unfavorable,不利,ˌʌnˈfeɪvərəbəl,
unhappy,不幸,ənˈhæpi,
unify,統一,ˈjunəˌfaɪ,
unity,"単一(性),統一,統合；団結；一貫性；一致；調和",ˈjunəti,
unlimited,無制限,ənˈlɪmətəd,
unnecessary,不要,ənˈnɛsəˌsɛri,
unpaid,未払い,ənˈpeɪd,
unpopular,不人気,ˌʌnˈpɑpjələr,
unprecedented,未曾有,ənˈprɛsɪˌdɛntɪd,
unpredictable,予測不可能な,ˌʌnprɪˈdɪktəbəl,
unrelated,無関係,ˌʌnrɪˈleɪtɪd,
unsecured,無担保の; 施錠されていない,ˌʌnsɪˈkjʊrd,
unusually,異常,ənˈjuʒˌuəli,
unveil,"を初公開する, 明らかにする；の除幕(式)を行う；ベール（覆い）を取る；正体を現す",ənˈveɪl,
unwilling,不本意,ənˈwɪlɪŋ,
upgrade,アップグレード,əpˈgreɪd,
upward,上向きに,ˈʌpwərd,
uranium,ウラン,jəˈreɪniəm,
urgent,緊急,ˈɜrʤənt,
usage,使用法,ˈjusəʤ,
utility,公共事業体；有用；役に立つもの,juˈtɪləti,
utilization,利用,ˌjutələˈzeɪʃən,
utilize,利用する；活用する,ˈjutəˌlaɪz,
vacation,休暇,veɪˈkeɪʃən,
vaccine,ワクチン,ˌvækˈsin,
vague,あいまい,veɪg,
valid,妥当,ˈvæləd,
validity,有効,vəˈlɪdəti,
valuation,評価,væljuˈeɪʃən,
variability,変動,vɛriəˈbɪlɪti,
variance,分散,ˈvɛriəns,
vector,ベクトル；方向量；病原菌媒介生物,ˈvɛktər,
vendor,物売り；製造販売会社,ˈvɛndər,
verbal,口頭,ˈvɜrbəl,
verdict,評決,ˈvɜrdɪkt,
verify,確認,ˈvɛrəˌfaɪ,
vertical,垂直,ˈvɜrtɪkəl,
vest,ベスト；チョッキ,vɛst,
veto,拒否,ˈvitoʊ,
viable,実現可能な；実行可能な：成功の見込める；成長可能な；生存可能な,ˈvaɪəbəl,
viewer,見るひと；検査官；ビューア,ˈvjuər,
violate,違反する,ˈvaɪəleɪt,
violation,違反,vaɪəˈleɪʃən,
virtual,実質上の；仮想の,ˈvɜrʧuəl,
virtue,美徳,ˈvɜrʧu,
visa,ビザ；査証；査証する,ˈvizə,
void,無効な；空虚な；あいた；効果のない；虚空；喪失感；欠如；無効にする；からにする,vɔɪd,
volatile,揮発性,ˈvɑlətəl,
volatility,揮発度,ˌvɑləˈtɪləti,
voucher,伝票,ˈvaʊʧər,
vow,誓い,vaʊ,
vulnerable,脆弱,ˈvʌlnərəbəl,
warehouse,倉庫,ˈwɛrˌhaʊs,
warrant,令状,ˈwɔrənt,
warranty,保証,ˈwɔrənti,
wary,警戒している,ˈwɛri,
weaken,弱める；弱体化する,ˈwikən,
website,ウェブサイト,ˈwɛbˌsaɪt,
wheat,小麦,wit,
whereby,これにより,wɛrˈbaɪ,
wholesale,卸し,ˈhoʊlˌseɪl,
wholesaler,卸売業者,ˈhoʊlˌseɪlər,
wholly,全く,ˈhoʊli,
widen,広げる,ˈwaɪdən,
widespread,広範,ˈwaɪdˈsprɛd,
willingness,意欲,ˈwɪlɪŋnəs,
wireless,無線,ˈwaɪrlɪs,
wisdom,知恵,ˈwɪzdəm,
withdrawal,撤退,wɪðˈdrɔəl,
withhold,差し控える,wɪθˈhoʊld,
woe,悲哀,woʊ,
workforce,労働力,ˈwɜrkˌfɔrs,
workplace,職場,ˈwɜrkˌpleɪs,
worksheet,練習問題；作業の進行表,ˈwɜrkˌʃit,
workshop,工房,ˈwɜrkˌʃɑp,
worldwide,世界的に,ˈwɜrlˈdwaɪd,
worsen,さらに悪くなる；悪化する,ˈwɜrsən,
worthwhile,やりがいのある,ˈwɜrˈθwaɪl,
worthy,ふさわしい,ˈwɜrði,
yearly,毎年,ˈjɪrli,
yen,円,jɛn,
yuan,元,juˈɑn,